1220	1	1731	0	0
232	2	1507	0	0
1317	1	1548	0	0
245	0	1490	0	0
561	1	1798	0	0
136	1	1657	0	0
629	1	1888	0	0
340	2	1738	0	0
714	0	1355	1	4
1459	0	868	0	0
1534	2	1093	1	3
215	0	131	0	0
296	1	1580	0	0
1998	2	427	1	3
1905	0	1364	0	0
500	1	1584	0	0
449	1	1793	0	0
966	2	1503	0	0
892	2	1504	1	3
1174	1	1548	0	0
507	2	1642	0	0
708	0	868	0	0
423	1	1551	0	0
470	1	1562	0	0
53	2	1547	0	0
1972	0	1768	0	0
1219	1	1746	0	0
694	0	1355	1	4
204	2	1652	0	0
1530	0	1805	0	0
865	0	581	0	0
536	0	1044	0	0
987	0	812	0	0
1284	2	2017	0	0
720	0	1355	1	4
1232	2	605	0	0
1780	0	242	0	0
1259	0	2009	0	0
1709	0	799	0	0
293	1	1729	0	0
922	1	1558	0	0
649	0	859	0	0
1926	0	72	0	0
491	0	1355	1	4
169	0	625	0	0
519	1	1514	0	0
541	1	1767	0	0
961	1	1545	0	0
328	1	1749	0	0
714	0	1433	0	0
581	1	1560	0	0
1952	0	1907	0	0
542	0	1111	0	0
1035	1	1960	0	0
146	2	39	0	0
523	2	1794	0	0
51	1	1568	0	0
48	0	483	0	0
1941	2	970	1	3
530	1	1856	0	0
1051	1	1902	0	0
683	0	1355	1	4
1226	1	1408	0	0
1607	0	2062	0	0
1036	2	987	0	0
1139	2	39	0	0
1455	1	1780	0	0
1319	1	1509	0	0
502	0	1385	0	0
1254	1	1732	0	0
212	1	1700	0	0
1605	2	1612	1	3
869	0	543	0	0
889	0	620	0	0
530	1	1852	0	0
850	2	605	0	0
1151	2	1355	0	0
842	0	1355	1	4
450	1	1021	0	0
582	0	1791	0	0
1254	0	1355	1	4
1255	1	2027	0	0
520	0	1355	1	4
1035	1	1542	0	0
145	2	1638	0	0
217	1	1630	0	0
427	1	1767	0	0
213	2	605	0	0
1039	0	1801	0	0
436	1	1580	0	0
483	0	286	0	0
1254	1	1522	0	0
1427	1	1594	0	0
874	0	1450	0	0
1255	1	1758	0	0
672	0	1355	1	4
1357	1	1850	0	0
726	0	322	0	0
192	0	1355	1	4
557	2	1503	0	0
1475	2	39	0	0
1944	0	817	0	0
890	0	197	0	0
815	2	1505	0	0
1110	0	1376	0	0
407	1	1791	0	0
42	0	635	0	0
1035	1	1950	0	0
1171	1	1991	0	0
846	0	1355	1	4
1032	2	374	0	0
216	0	574	0	0
962	2	1519	0	0
717	0	709	0	0
541	1	1871	0	0
69	0	274	0	0
418	0	1482	0	0
386	1	1562	0	0
1123	0	434	0	0
511	2	605	0	0
1071	1	1546	0	0
1437	1	2054	0	0
1791	0	17	0	0
764	0	1355	1	4
840	0	1355	1	4
225	1	1514	0	0
644	2	605	0	0
138	1	1561	0	0
468	1	1521	0	0
218	2	39	0	0
394	1	1560	0	0
1361	0	1355	1	2
175	1	1611	0	0
1243	2	315	0	0
769	0	400	0	0
1409	0	1119	0	0
529	1	1821	0	0
1478	2	1503	0	0
1073	0	1355	1	2
48	0	1008	0	0
143	0	808	0	0
1679	0	764	0	0
530	1	1850	0	0
1811	0	353	0	0
108	2	1355	0	0
91	1	1526	0	0
434	1	1775	0	0
989	0	1933	0	0
1038	2	1504	0	0
369	2	1519	0	0
840	0	562	0	0
2	1	1604	0	0
1580	0	1060	0	0
463	2	1547	0	0
1984	0	871	0	0
1240	0	633	0	0
138	1	1519	0	0
1037	2	605	0	0
115	2	1503	0	0
1145	0	966	0	0
1049	2	1926	0	0
911	1	1909	0	0
822	0	1462	0	0
792	0	1355	1	4
36	0	1231	0	0
1469	2	1355	0	0
134	0	289	0	0
149	2	1504	0	0
141	1	1663	0	0
1374	2	39	0	0
1246	0	1355	1	4
556	0	177	0	0
743	0	779	0	0
807	0	1040	0	0
1553	2	1476	1	3
1302	2	211	1	3
967	1	1814	0	0
602	1	1603	0	0
268	0	27	0	0
284	1	1598	0	0
1263	0	1355	1	4
987	2	374	0	0
458	0	829	0	0
1427	1	1835	0	0
690	0	1799	0	0
1731	0	297	0	0
1054	0	359	0	0
1246	0	387	0	0
520	0	66	0	0
1041	0	1990	0	0
539	2	1503	0	0
1137	0	477	0	0
1255	1	1816	0	0
1087	0	1923	0	0
470	2	1512	0	0
1207	1	1730	0	0
724	0	1355	1	4
1271	2	1506	0	0
2018	0	1000	0	0
1052	1	1514	0	0
1406	0	1355	1	4
1467	2	1871	1	3
1729	0	132	0	0
1250	1	1782	0	0
972	1	1513	0	0
1440	0	1257	0	0
1280	2	2015	0	0
34	1	1531	0	0
440	1	1789	0	0
1130	2	1503	0	0
1255	1	1534	0	0
1380	0	1808	0	0
541	2	437	1	3
163	2	39	0	0
101	0	1581	0	0
81	1	1564	0	0
1628	0	1067	0	0
961	1	1542	0	0
702	0	1355	1	4
1042	2	39	0	0
613	0	1355	1	2
1762	0	755	0	0
1795	0	661	0	0
273	1	1533	0	0
436	1	1782	0	0
1035	1	1961	0	0
966	1	1934	0	0
1393	2	143	1	3
1193	1	1845	0	0
446	0	1552	0	0
401	0	1831	0	0
1542	0	453	0	0
677	0	1538	0	0
386	2	1502	0	0
362	1	1612	0	0
16	0	1016	0	0
535	1	1732	0	0
406	0	1355	1	4
7	1	1546	0	0
