node_id,old_index
624,1504
625,450
626,1030
627,1364
628,1246
629,1750
630,5310
631,1755
632,4648
633,1663
634,571
635,1103
636,2120
637,2348
638,1404
639,794
640,4876
641,144
642,544
643,1627
644,4037
645,1628
646,4811
647,2637
648,1970
649,4651
650,4731
651,4989
652,4618
653,425
654,4927
655,497
656,1316
657,2229
658,4658
659,1075
660,2837
661,89
662,5443
663,4654
664,227
665,4619
666,702
667,1846
668,516
669,4631
670,503
671,599
672,864
673,184
674,341
675,1963
676,4640
677,1466
678,5398
679,139
680,1405
681,72
682,161
683,564
684,479
685,1395
686,567
687,5130
688,445
689,5386
690,238
691,671
692,1624
693,4614
694,2240
695,1289
696,1626
697,2617
698,623
699,347
700,277
701,4613
702,229
703,4639
704,4674
705,2912
706,541
707,4656
708,1092
709,2657
710,594
711,4510
712,1614
713,2046
714,5053
715,3775
716,1897
717,2756
718,5360
719,77
720,5579
721,504
722,5251
723,44
724,1058
725,2219
726,1660
727,4615
728,1343
729,4642
730,1258
731,1357
732,1662
733,1066
734,117
735,2342
736,172
737,2023
738,2329
739,349
740,981
741,4626
742,4105
743,3955
744,482
745,73
746,4098
747,827
748,1377
749,401
750,2702
751,372
752,166
753,217
754,2641
755,4638
756,2745
757,4636
758,49
759,4628
760,1863
761,4824
762,412
763,2032
764,500
765,5183
766,1612
767,3823
768,1381
769,5474
770,5162
771,3730
772,1014
773,379
774,710
775,2757
776,4679
777,335
778,556
779,5185
780,1070
781,1820
782,1259
783,115
784,4711
785,255
786,273
787,1358
788,925
789,1790
790,3523
791,4689
792,3151
793,3614
794,732
795,4926
796,3571
797,3252
798,5580
799,4705
800,3050
801,3627
802,3359
803,4025
804,2951
805,3479
806,1320
807,3790
808,3421
809,4612
810,2431
811,3603
812,5146
813,2714
814,2955
815,2823
816,2893
817,1321
818,4867
819,3628
820,5364
821,5227
822,3254
823,4948
824,4673
825,3488
826,3262
827,2075
828,3757
829,3661
830,4714
831,5428
832,5320
833,3302
834,3781
835,3894
836,1584
837,4684
838,4473
839,3933
840,1306
841,5037
842,2367
843,230
844,5473
845,5206
846,74
847,3529
848,2607
849,1919
850,4904
851,3555
852,1966
853,1334
854,2171
855,4682
856,3487
857,3088
858,3612
859,2662
860,3991
861,3265
862,2307
863,3860
864,1101
865,4660
866,5460
867,4945
868,4668
869,3212
870,3682
871,3755
872,3863
873,3366
874,3099
875,5259
876,5176
877,5008
878,3238
879,2921
880,3816
881,3130
882,3938
883,1865
884,3527
885,2026
886,3618
887,4923
888,3556
889,3098
890,3311
891,3328
892,3572
893,3145
894,3616
895,3463
896,3723
897,3810
898,3747
899,4870
900,5191
901,2688
902,1698
903,5078
904,3684
905,3909
906,3513
907,3562
908,3942
909,3870
910,3727
911,3539
912,5441
913,2360
914,3624
915,2874
916,3095
917,1226
918,746
919,2687
920,3948
921,3679
922,2394
923,3375
924,1824
925,5567
926,4670
927,3268
928,1699
929,1844
930,3381
931,3831
932,3482
933,4978
934,3900
935,3725
936,4558
937,221
938,3843
939,3216
940,3295
941,2911
942,3703
943,3396
944,3547
945,3214
946,3927
947,4957
948,5188
949,5081
950,3768
951,1594
952,3232
953,2945
954,2614
955,3428
956,1223
957,1159
958,1737
959,3058
960,2569
961,2440
962,3968
963,5304
964,4125
965,3915
966,5541
967,3052
968,3660
969,3615
970,5129
971,3827
972,3890
973,3489
974,3916
975,3718
976,703
977,2345
978,5317
979,3716
980,3819
981,3984
982,5260
983,3278
984,2905
985,5218
986,5289
987,1898
988,3004
989,812
990,3380
991,4000
992,4417
993,3922
994,3357
995,4925
996,3231
997,5124
998,2810
999,3607
1000,1120
1001,3431
1002,3426
1003,5256
1004,3266
1005,4713
1006,2770
1007,5574
1008,3918
1009,4762
1010,919
1011,1554
1012,1029
1013,175
1014,5066
1015,615
1016,265
1017,382
1018,4846
1019,811
1020,1449
1021,4031
1022,2037
1023,539
1024,1588
1025,1733
1026,302
1027,1809
1028,1976
1029,4038
1030,4043
1031,5518
1032,4051
1033,376
1034,2465
1035,2814
1036,4024
1037,4026
1038,3461
1039,3454
1040,5091
1041,3675
1042,3005
1043,3677
1044,3832
1045,3042
1046,2562
1047,3701
1048,5485
1049,1237
1050,3569
1051,3226
1052,25
1053,5377
1054,3189
1055,3878
1056,5281
1057,3566
1058,20
1059,4597
1060,4699
1061,3839
1062,5291
1063,4941
1064,3467
1065,3842
1066,2322
1067,3595
1068,3821
1069,4215
1070,1210
1071,3961
1072,2928
1073,3009
1074,3833
1075,3888
1076,3753
1077,3699
1078,5142
1079,3786
1080,3536
1081,3272
1082,3902
1083,2879
1084,3924
1085,5101
1086,3608
1087,2103
1088,3689
1089,3921
1090,2589
1091,2800
1092,3432
1093,4214
1094,5023
1095,3787
1096,2031
1097,3932
1098,3310
1099,4979
1100,2000
1101,2588
1102,3379
1103,2908
1104,3758
1105,3391
1106,3930
1107,3794
1108,3521
1109,5222
1110,4692
1111,3740
1112,3224
1113,2818
1114,3906
1115,2806
1116,2751
1117,5524
1118,2897
1119,5112
1120,5171
1121,1599
1122,5097
1123,1552
1124,4890
1125,3749
1126,1154
1127,3532
1128,4921
1129,3054
1130,3715
1131,3824
1132,3475
1133,5510
1134,3542
1135,3557
1136,2739
1137,97
1138,4766
1139,5148
1140,5029
1141,5516
1142,5158
1143,2632
1144,5138
1145,3576
1146,2999
1147,3934
1148,3382
1149,304
1150,3889
1151,3925
1152,3322
1153,5356
1154,3544
1155,3142
1156,3033
1157,3748
1158,3565
1159,4835
1160,2940
1161,3899
1162,4739
1163,4009
1164,1266
1165,3029
1166,3510
1167,3796
1168,4010
1169,1128
1170,2292
1171,4061
1172,3180
1173,3170
1174,2781
1175,4877
1176,2340
1177,3522
1178,5553
1179,512
1180,4006
1181,3828
1182,3589
1183,3420
1184,2935
1185,3799
1186,3573
1187,5121
1188,3917
1189,3606
1190,3801
1191,3774
1192,3665
1193,4935
1194,5276
1195,3549
1196,3903
1197,5351
1198,3850
1199,3658
1200,3638
1201,3800
1202,2612
1203,5426
1204,2734
